,Unnamed: 0,Name,All-Star Year,Age,Team,League,Position,Games Played,Games Started,MPG,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Previous Times All-Star,First Appearance
215,215,LeBron James,2014,29,MIA,NBA,PF,77,77,37.7,10.0,17.6,0.5670000000000001,1.5,4.0,.379,8.5,13.6,0.622,0.61,5.7,7.6,0.75,1.1,5.9,6.9,6.3,1.6,0.3,3.5,1.6,27.1,9,False
216,216,Paul George,2014,23,IND,NBA,SF,80,80,36.2,7.2,17.0,0.424,2.3,6.3,.364,4.9,10.8,0.45799999999999996,0.49,5.0,5.8,0.8640000000000001,0.8,6.0,6.8,3.5,1.9,0.3,2.8,2.5,21.7,1,False
217,217,Carmelo Anthony,2014,29,NYK,NBA,PF,77,77,38.7,9.6,21.3,0.452,2.2,5.4,.402,7.5,15.9,0.469,0.503,6.0,7.0,0.848,1.9,6.2,8.1,3.1,1.2,0.7,2.6,2.9,27.4,6,False
218,218,Dwyane Wade,2014,32,MIA,NBA,SG,54,53,32.9,7.7,14.1,0.545,0.2,0.6,.281,7.5,13.5,0.557,0.551,3.5,4.8,0.733,1.1,3.4,4.5,4.7,1.5,0.5,3.0,2.0,19.0,9,False
219,219,Joakim Noah,2014,28,CHI,NBA,C,80,80,35.3,4.8,10.0,0.475,0.0,0.0,.000,4.8,10.0,0.47600000000000003,0.475,3.1,4.2,0.737,3.5,7.7,11.3,5.4,1.2,1.5,2.4,3.1,12.6,1,False
220,220,John Wall,2014,23,WAS,NBA,PG,82,82,36.3,7.1,16.3,0.433,1.3,3.8,.351,5.7,12.5,0.45799999999999996,0.473,3.9,4.8,0.805,0.5,3.6,4.1,8.8,1.8,0.5,3.6,2.7,19.3,0,True
221,221,DeMar DeRozan,2014,24,TOR,NBA,SG,79,79,38.2,7.6,17.8,0.429,0.8,2.7,.305,6.8,15.2,0.451,0.452,6.6,8.0,0.8240000000000001,0.6,3.7,4.3,4.0,1.1,0.4,2.2,2.5,22.7,0,True
222,222,Paul Millsap,2014,28,ATL,NBA,PF,74,73,33.5,6.5,14.1,0.461,1.0,2.9,.358,5.5,11.3,0.48700000000000004,0.498,3.9,5.3,0.731,2.1,6.4,8.5,3.1,1.7,1.1,2.5,2.8,17.9,0,True
223,223,Roy Hibbert,2014,27,IND,NBA,C,81,81,29.7,4.1,9.3,0.439,0.0,0.1,.400,4.1,9.2,0.439,0.44,2.6,3.3,0.77,2.5,4.1,6.6,1.1,0.4,2.2,1.8,3.3,10.8,1,False
224,224,Chris Bosh,2014,29,MIA,NBA,C,79,79,32.0,6.2,12.1,0.516,0.9,2.8,.339,5.3,9.3,0.569,0.555,2.8,3.4,0.82,1.2,5.4,6.6,1.1,1.0,1.0,1.6,2.4,16.2,7,False
