,Year,Name,Position,Age,Team,Games Played,Games Started,MPG,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Previous Times All-Star,Win Percent,PTS/FGA,% All Star,Unbiased % All Star,Change
250,2024,Julian Champagnie,SF,22,SAS,75,60,14.9,1.7,4.5,.377,1.3,3.4,.375,0.4,1.1,.382,.518,0.9,1.0,.871,0.3,1.7,2.0,1.0,0.6,0.5,0.7,1.1,5.5,0,.184,1.2222222222222223,0.04,0.04,=
249,2024,Jose Alvarado,PG,25,NOP,66,42,17.4,2.6,6.3,.411,1.4,3.5,.393,1.2,2.8,.433,.520,0.8,1.2,.621,0.5,1.8,2.3,2.0,1.0,0.4,0.8,1.5,7.3,0,.600,1.1587301587301588,0.04,0.04,=
248,2024,Malaki Branham,PG,20,SAS,81,65,22.0,3.6,8.4,.428,1.1,3.4,.315,2.5,5.1,.503,.490,0.6,0.6,.913,0.3,1.8,2.1,2.5,0.4,0.1,1.3,1.4,8.8,0,.184,1.0476190476190477,0.04,0.04,=
241,2024,Théo Maledon,PG,22,CHO,58,46,15.4,1.5,5.1,.288,0.4,2.3,.167,1.1,2.8,.389,.326,0.8,0.9,.917,0.3,1.5,1.8,2.2,0.5,0.0,1.2,1.4,4.2,0,.216,0.823529411764706,0.04,0.04,=
246,2024,Sam Merrill,SG,27,CLE,67,45,14.5,2.4,6.1,.396,2.1,5.2,.412,0.3,0.9,.300,.571,0.3,0.3,.857,0.4,1.5,1.9,1.3,0.3,0.0,0.3,1.1,7.2,0,.595,1.1803278688524592,0.04,0.04,=
245,2024,Marcus Morris,PF,34,PHI,74,50,16.1,2.2,5.1,.442,1.0,2.3,.426,1.2,2.7,.456,.541,0.8,0.9,.852,0.4,2.3,2.7,0.8,0.4,0.3,0.4,1.8,6.3,0,.649,1.2352941176470589,0.04,0.04,=
244,2024,Aaron Nesmith,SF,24,IND,79,54,25.4,4.3,8.2,.517,2.1,4.5,.466,2.1,3.7,.579,.645,1.1,1.6,.719,0.8,2.4,3.3,1.1,1.1,0.7,0.9,3.2,11.8,0,.590,1.4390243902439026,0.04,0.04,=
243,2024,Delon Wright,PG,31,WAS,61,44,17.3,1.6,4.2,.375,0.5,1.5,.346,1.1,2.7,.391,.438,1.1,1.4,.783,0.4,1.8,2.2,3.4,1.4,0.2,0.6,0.8,4.8,0,.184,1.1428571428571428,0.04,0.04,=
242,2024,Gary Payton II,SG,31,GSW,59,43,16.3,2.3,4.9,.456,0.6,2.0,.281,1.7,2.9,.574,.513,0.4,0.6,.667,1.0,2.0,3.0,0.8,1.1,0.3,0.6,1.8,5.4,0,.462,1.1020408163265305,0.04,0.04,=
240,2024,Jeremiah Robinson-Earl,PF,23,NOP,59,43,11.5,1.6,3.0,.529,0.5,1.1,.421,1.1,1.9,.594,.608,0.4,0.4,1.000,0.6,2.0,2.6,0.5,0.4,0.2,0.5,0.8,4.0,0,.600,1.3333333333333333,0.04,0.04,=
239,2024,P.J. Washington,PF,25,CHO,76,58,28.6,4.8,11.3,.422,1.7,5.6,.310,3.0,5.7,.531,.499,1.5,2.0,.738,1.3,4.0,5.3,2.3,0.9,0.7,1.5,2.5,12.7,0,.216,1.1238938053097345,0.04,0.04,=
262,2024,Keita Bates-Diop,SF,28,PHO,72,51,16.4,1.7,4.2,.390,0.5,1.8,.269,1.2,2.4,.479,.447,0.9,1.2,.735,0.8,2.0,2.8,0.9,0.6,0.5,0.2,1.0,4.7,0,.538,1.119047619047619,0.03,0.03,=
